Tab,ทำแล้ว,Item Code,ตำแหน่ง,Description,Trade Name,Common Name,Route,หน่วยการใช้งาน,Frequency/Rate,Note,Unit,Receipt Category,Alert Min,Alert Max,Formula,Sell Price,Rx Default,Status,Category
น้ำเกลือ,,050000000141,1,Acetated Ringer's 500 ml (Acetar 500 ml)*ใช้ในห้องตรวจ**,R-Cetate 500 ml,R-Cetate 500 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,120.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000142,1,Acetated Ringer's 1000 ml (R-Cetate 1000 ml) (Acetar 1000 ml),R-Cetate 1000 ml,R-Cetate 1000 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000131,1,Dextrose 5% in 1/2 Str.Saline 1000 ml (D 5 1/2 s 1000 ml),D 5 1/2 s 1000 ml,D 5 1/2 s 1000 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000146,1,Dextrose 5% in Acetated Ringer's 1000 ml  (Acetar-5 1000 ml),R-Cetate-5 1000 ml (Actear -5),R-Cetate-5 1000 ml (Actear -5),IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,080000000025,1,ค่าบริการให้น้ำเกลือ s/c,ค่าบริการให้น้ำเกลือ s/c,ค่าบริการให้น้ำเกลือ s/c,,ครั้ง,,,ครั้ง,ค่าหัตถการ,0,0,A - Unit price,50.00 / ครั้ง,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000157,1,NSS for s/c,NSS for s/c,NSS for s/c,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-200 = 120.00; 200.01-500 = 150.00; 500.01-700 = 180.00; 700.01-1000 = 200.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000158,1,Acetar for s/c,Acetar for s/c,Acetar for s/c,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-200 = 120.00; 200.01-500 = 150.00; 500.01-700 = 180.00; 700.01-1000 = 200.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,020000000109,1,Metabolase (ยาบำรุง),(Tx) Metabolase,(Tx) Metabolase,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-10 = 30.00; 10.01-20 = 60.00; 20.01-30 = 90.00; 30.01-40 = 120.00; 40.01-50 = 150.00; 50.1-60 = 180.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000159,1,วิตามินบำรุงในน้ำเกลือ(metabolase+biocat) ตามน้ำหนักตัว,วิตามินบำรุงในน้ำเกลือ(metabolase+biocat) ตามน้ำหนักตัว,วิตามินบำรุงในน้ำเกลือ(metabolase+biocat) ตามน้ำหนักตัว,SC,กิโลกรัม,,,กิโลกรัม,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-10 = 30.00; 10.01-20 = 50.00; 20.01-80 = 70.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,020000000058,1,Vitamin B12 (1000 mcg),VitaminB12 1000 mcg,Vitamin B12 (1000 mcg),SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 30.00; 0.51-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-10 = 100.00,ไม่มี,Active,น้ำเกลือ IV / SC
