Item Code,Base Code,Tag,Route,Dose,Frequency,Note
050000000006,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000007,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000008,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000009,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000010,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000052,,วัสดุผ่าตัด,,ตัว,,
050000000053,,วัสดุผ่าตัด,,ตัว,,
050000000054,,วัสดุผ่าตัด,,ตัว,,
050000000055,,วัสดุผ่าตัด,,ตัว,,
050000000223,,วัสดุผ่าตัด,,ตัว,,
050000000224,,วัสดุผ่าตัด,,ตัว,,
050000000211,,วัสดุผ่าตัด,,แผ่น,,
050000000212,,วัสดุผ่าตัด,,แผ่น,,
050000000213,,วัสดุผ่าตัด,,แผ่น,,
050000000216,,วัสดุผ่าตัด,,แผ่น,,
050000000220,,วัสดุผ่าตัด,,แผ่น,,
050000000221,,วัสดุผ่าตัด,,แผ่น,,
050000000192,,วัสดุผ่าตัด,,ตัว,,
050000000193,,วัสดุผ่าตัด,,ตัว,,
050000000196,,วัสดุผ่าตัด,,ตัว,,
050000000197,,วัสดุผ่าตัด,,ตัว,,
050000000205,,วัสดุผ่าตัด,,ตัว,,
050000000206,,วัสดุผ่าตัด,,ตัว,,
050000000187,,วัสดุผ่าตัด,,ตัว,,
050000000188,,วัสดุผ่าตัด,,ตัว,,
050000000189,,วัสดุผ่าตัด,,ตัว,,
050000000190,,วัสดุผ่าตัด,,ตัว,,
050000000194,,วัสดุผ่าตัด,,ตัว,,
050000000207,,วัสดุผ่าตัด,,ตัว,,
000000000026,,วัสดุผ่าตัด,,อัน,,
050000000217,,วัสดุผ่าตัด,,ครั้ง,,
050000000191,,วัสดุผ่าตัด,,ตัว,,
050000000195,,วัสดุผ่าตัด,,ตัว,,
050000000208,,วัสดุผ่าตัด,,ตัว,,
050000000108,,วัสดุผ่าตัด,,ซอง,,
050000000225,,วัสดุผ่าตัด,,แผ่น,,
050000000048,,ทำแผล,,ม้วน,,
050000000011,,ทำแผล,,ห่อ,,
050000000059,,ทำแผล,,ม้วน,,
050000000060,,ทำแผล,,ม้วน,,
050000000058,,ทำแผล,,เซนติเมตร,,
050000000070,,ทำแผล,,ม้วน,,
050000000073,,ทำแผล,,ม้วน,,
080000000005,,ทำแผล,,บาท,,
080000000008,,ทำแผล,,บาท,,
040000000167,,ทำแผล,,แผ่น,,
040000000170,,ทำแผล,,แผ่น,,
040000000171,,ทำแผล,,แผ่น,,
050000000042,,ทำแผล,,อัน,,
040000000093,,ทำแผล,,เส้น,,
040000000094,,ทำแผล,,เส้น,,
030000000014,,ทำในห้อง|หัตถการอื่นๆ,,ครั้ง,,
080000000016,,ทำในห้อง|หัตถการอื่นๆ,,ครั้ง,,
030000000013,,ทำในห้อง,,ครั้ง,,
030000000072,,ทำในห้อง,,ครั้ง,,
030000000050,,ทำในห้อง,,ครั้ง,,
030000000078,,ทำในห้อง,,ครั้ง,,
030000000051,,ทำในห้อง,,ครั้ง,,
030000000077,,ทำในห้อง,,ครั้ง,,
080000000037,,ทำในห้อง,,บาท,,
030000000011,,ทำในห้อง,,ครั้ง,,
030000000012,,ทำในห้อง,,ครั้ง,,
030000000073,,ทำในห้อง,,ครั้ง,,
080000000032,,ทำในห้อง,,ครั้ง,,
080000000017,,ทำในห้อง|หัตถการอื่นๆ,,ครั้ง,,
030000000054,,ทำในห้อง,,ข้าง,,
030000000053,,ทำในห้อง,,ครั้ง,,
080000000030,,ทำในห้อง|หัตถการอื่นๆ|สัตว์ป่วยใน,,ครั้ง,,
040000000173,,ทำในห้อง,,หลอด,,
040000000174,,ทำในห้อง,,หลอด,,
040000000175,,ทำในห้อง,,หลอด,,
040000000176,,ทำในห้อง,,หลอด,,
040000000177,,ทำในห้อง,,หลอด,,
040000000178,,ทำในห้อง,,หลอด,,
040000000179,,ทำในห้อง,,หลอด,,
080000000011,,หัตถการอื่นๆ,,ครั้ง,,
080000000012,,หัตถการอื่นๆ,,ครั้ง,,
080000000036,,หัตถการอื่นๆ,,ครั้ง,,
080000000020,,หัตถการอื่นๆ,,ครั้ง,,
080000000013,,หัตถการอื่นๆ,,บาท,,
080000000014,,หัตถการอื่นๆ|สัตว์ป่วยใน,,ครั้ง,,
080000000002,,หัตถการอื่นๆ,,บาท,,
080000000004,,หัตถการอื่นๆ|สัตว์ป่วยใน,,ครั้ง,,
080000000023,,หัตถการอื่นๆ,,ครั้ง,,
080000000026,,หัตถการอื่นๆ,,ตัว,,
080000000006,,หัตถการอื่นๆ,,ครั้ง,,
080000000018,,หัตถการอื่นๆ,,ครั้ง,,
030000000015,,หัตถการอื่นๆ,,ครั้ง,,
030000000016,,หัตถการอื่นๆ,,ครั้ง,,
030000000058,,หัตถการอื่นๆ,,ครั้ง,,
060000000077,,หัตถการอื่นๆ,,ครั้ง,,
060000000079,,หัตถการอื่นๆ,,ตัวอย่าง,,
080000000029,,หัตถการอื่นๆ|สัตว์ป่วยใน,,ครั้ง,,
030000000090,,หัตถการอื่นๆ|สัตว์ป่วยใน,,ชั่วโมง,,
030000000091,,หัตถการอื่นๆ|สัตว์ป่วยใน,,คืน,,
080000000019,,หัตถการอื่นๆ,,ครั้ง,,
030000000020,,หัตถการอื่นๆ,,ครั้ง,,
050000000163,,หัตถการอื่นๆ,,ถุง,,
