Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'020000000100,Gentamycin (inj),Gentamycin (inj),Gentamycin (inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active
'020000000101,Sulfa-Trimethropim 240 mg/ml (STMP) (Inj),(Tx) Sulfa-Trimethropim 240 mg/ml (STMP) (Inj),(Tx) Sulfa-Trimethropim 240 mg/ml (STMP) (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active
'020000000102,Enrofloxacin 100 mg/ml (Inj) (Syvaquinol),(Tx) Enrofloxacin (Syvaquinol) 100 mg/ml (Inj),(Tx) Enrofloxacin (Syvaquinol) 100 mg/ml (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active
'020000000105,Ampicillin 1g/vial (Inj),(Tx) Ampicillin (Inj),(Tx) Ampicillin (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active
'020000000106,Oxytetracyclin as HCL and Lidocain 40 mg/2ml (Oxytet)(Inj),(Tx) Oxytetracyclin (Inj),(Tx) Oxytetracyclin (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active
'020000000107,Xylazine (Inj),(Tx) Xylazine (Inj),(Tx) Xylazine (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 50.00; 0.51-1 = 100.00; 1.01-2 = 150.00; 4.01-5 = 200.00,ไม่มี,Active
'020000000108,Biocat (inj),(Tx) Biocat(inj),(Tx) Biocat(inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 30.00; 0.51-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-10 = 100.00,ไม่มี,Active
'020000000109,Metabolase (ยาบำรุง),(Tx) Metabolase,(Tx) Metabolase,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-10 = 30.00; 10.01-20 = 60.00; 20.01-30 = 90.00; 30.01-40 = 120.00; 40.01-50 = 150.00; 50.1-60 = 180.00,ไม่มี,Active
'020000000110,Vinblastin 10 ml,Vinblastin 10 ml,Vinblastin 10 ml,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-10 = 800.00,ไม่มี,Active
'020000000111,Infervac 10 ml (กระตุ้นภูมิ),Infervac 10 ml (กระตุ้นภูมิ),Infervac 10 ml (กระตุ้นภูมิ),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,200.00 / ซีซี,ไม่มี,Active
'020000000112,Green pit Viper (เซรุ่มงูเขียวหางไหม้),Green pit Viper (เซรุ่มงูเขียวหางไหม้),Green pit Viper (เซรุ่มงูเขียวหางไหม้),ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,"1,500.00 / ขวด",ไม่มี,Active
'020000000113,Cobra Antivenin 10 ml (เซรุ่มงูเห่า),Cobra Antivenin 10 ml (เซรุ่มงูเห่า),Cobra Antivenin 10 ml (เซรุ่มงูเห่า),ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,"1,500.00 / ขวด",ไม่มี,Active
'020000000114,Niketamine,(Tx) Niketamine,(Tx) Niketamine,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 30.00; 0.51-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-10 = 100.00,ไม่มี,Active
'020000000115,Berenil 7 % 20 ml,Berenil 7 % 20 ml,Berenil 7 % 20 ml,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 200.00; 2.01-3 = 300.00; 3.01-4 = 400.00,ไม่มี,Active
'020000000116,Yohimbin (Inj),(Tx) Yohimbin (Inj),(Tx) Yohimbin (Inj),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 120.00; 1.51-2 = 150.00; 2.01-2.5 = 150.00,ไม่มี,Active
'020000000117,Vitamin B complex,(Tx) Vitamin B complex,(Tx) Vitamin B complex,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 30.00; 0.51-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-10 = 100.00,ไม่มี,Active
'020000000118,Lidocaine 2 %,(Tx) Lidocaine 2 %,(Tx) Lidocaine 2 %,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-5 = 100.00,ไม่มี,Active
'020000000120,Diazepam 1.1-2ml/ไซริงค์ (สวนทวาร),Diazepam 1.1-2ml/ไซริงค์ (สวนทวาร),Diazepam(1.1-2 ml)/ ยาระงับชักสวนก้น,ไซริงค์,ค่ายานำกลับ,0,0,A - Unit price,50.00 / ไซริงค์,มี,Active
'020000000121,Diazepam 2.1-3ml/ไซริงค์ (สวนทวาร),Diazepam 2.1-3ml/ไซริงค์ (สวนทวาร),Diazepam(2.1-3ml)/ ยาระงับชักสวนก้น,ไซริงค์,ค่ายานำกลับ,0,0,A - Unit price,80.00 / ไซริงค์,มี,Active
'020000000122,Diazepam 3.1-4 ml/ไซริงค์ (สวนทวาร),Diazepam 3.1-4 ml/ไซริงค์ (สวนทวาร),Diazepam 3.1-4 ml /(สวนก้นระงับชัก),ไซริงค์,ค่ายานำกลับ,0,0,A - Unit price,100.00 / ไซริงค์,มี,Active
'020000000123,Diazepam >4ml/ไซริงค์ (สวนทวาร),Diazepam >4ml/ไซริงค์ (สวนทวาร),Diazepam >4ml /ยาระงับชักสวนก้น,ไซริงค์,ค่ายานำกลับ,0,0,A - Unit price,120.00 / ไซริงค์,มี,Active
